Date,Circuit,City,Country,International,Tournament,Event_Link,Round_Code,Round,Motion,Infoslide,Topic_Area_1,Topic_Area_2,Topic_Area_3,Topic_Area_Specific_1
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,1,1,THBT it is the duty of any state to grant political asylum to whistleblowers from other countries,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,2,2,THW use all dead human bodies for the benefit of those waiting for organ transplants,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,3,3,THW suspend all regulation regarding environmental protection laws and policies during prolonged periods of economic recession,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,4,4,THBT the Pope should be elected by all Catholics,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,Open_Z,Open_Final,THBT intelligence agencies should be allowed to monitor all people without their consent,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,1,1,THW allow the use of performance enhancing drugs in competitive sports,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,2,2,TH condemns the use of military drones in all military operations,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,3,3,THW forbid testing on all animals,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,4,4,THW ban all art that offends religious communities,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,Open_Z,Open_Final,THBT that the European Union has failed,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,1,1,THBT the Baltic states should not provide any development aid,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,2,2,THW create a state-run monopoly of porn and use it for social engineering,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,3,3,THW ban any religious influence on people below the age of 18,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,4,4,THW gradually stop paying old age pensions,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,Open_Z,Open_Final,THW legalize duels in cases of adultery,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,1,1,THW cap prices for vitally important goods like bread and milk,,,,,
01-01-99,Europe,Latvia,Latvia,0,SSE Riga Practice Tournament,,2,2,THBT parties with overdue debts should not be allowed to participate in elections,,,,,
